latitude,longitude,heading,speed,steer,direction,pitch,terrain,lane_cte,lane_conf,lane_flags
37.23881463,126.77306867,33.44,0.0000,0.00,1,-0.98,0.0,0.0000,0.000,0
37.23881587,126.77307102,33.44,0.6923,0.00,1,-1.07,0.0,0.0000,0.000,0
37.23881711,126.77307338,33.44,0.8482,0.00,1,-1.13,0.0,0.0000,0.000,0
37.23881834,126.77307573,33.44,0.8482,0.00,1,-1.19,0.0,0.0000,0.000,0
37.23881958,126.77307809,33.44,1.0441,0.00,1,-1.25,0.0,0.0000,0.000,0
37.23882082,126.77308044,33.44,1.1310,0.00,1,-1.31,0.0,0.0000,0.000,0
37.23882206,126.77308279,33.44,1.1310,0.00,1,-1.35,0.0,0.0000,0.000,0
37.23882329,126.77308515,33.44,1.1310,0.00,1,-1.35,0.0,0.0000,0.000,0
37.23882453,126.77308750,33.44,1.3778,0.00,1,-1.32,0.0,0.0000,0.000,0
37.23882577,126.77308986,33.44,1.1949,0.00,1,-1.30,0.0,0.0000,0.000,0
37.23882701,126.77309221,33.44,1.3232,0.00,1,-1.33,0.0,0.0000,0.000,0
37.23882824,126.77309456,33.44,1.4137,0.00,1,-1.41,0.0,0.0000,0.000,0
37.23882948,126.77309692,33.44,1.4137,0.00,1,-1.50,0.0,0.0000,0.000,0
37.23883072,126.77309927,33.44,1.4137,0.00,1,-1.61,0.0,0.0000,0.000,0
37.23883196,126.77310162,33.44,1.4137,0.00,1,-1.75,0.0,0.0000,0.000,0
37.23883319,126.77310398,33.44,1.4137,0.00,1,-1.87,0.0,0.0000,0.000,0
37.23883443,126.77310633,33.44,1.4137,0.00,1,-1.90,0.0,0.0000,0.000,0
37.23883567,126.77310869,33.44,1.4137,0.00,1,-1.93,0.0,0.0000,0.000,0
37.23883691,126.77311104,33.44,1.5171,0.00,1,-1.95,0.0,0.0000,0.000,0
37.23883814,126.77311339,33.44,1.6702,0.00,1,-1.94,0.0,0.0000,0.000,0
37.23883938,126.77311575,33.43,1.4342,0.00,1,-1.89,0.0,0.0000,0.000,0
37.23884062,126.77311810,33.21,1.6036,0.00,1,-1.84,0.0,0.0000,0.000,0
37.23884186,126.77312046,32.00,1.6965,0.00,1,-1.79,0.0,0.0000,0.000,0
37.23884306,126.77312283,29.67,1.6334,0.00,1,-1.74,0.0,0.0000,0.000,0
37.23884414,126.77312531,26.35,1.4144,0.00,1,-1.66,0.0,0.0000,0.000,0
37.23884505,126.77312788,23.05,1.6315,0.00,1,-1.57,0.0,0.0000,0.000,0
37.23884583,126.77313053,20.69,1.6965,0.00,1,-1.49,0.0,0.0000,0.000,0
