latitude,longitude,heading,speed,steer,direction,pitch,terrain,lane_cte,lane_conf,lane_flags
37.23893150,126.77295788,61.30,0.0000,0.00,1,-0.15,0.0,0.0000,0.000,0
37.23893152,126.77295790,61.35,0.0000,0.00,1,-0.15,0.0,0.0000,0.000,0
37.23893151,126.77295790,61.35,0.0000,0.00,1,-0.15,0.0,0.0000,0.000,0
37.23893156,126.77295783,61.36,0.0000,0.00,1,-0.16,0.0,0.0000,0.000,0
37.23893154,126.77295786,61.38,0.0000,0.00,1,-0.16,0.0,0.0000,0.000,0
37.23893153,126.77295785,61.39,0.0000,0.00,1,-0.16,0.0,0.0000,0.000,0
37.23893156,126.77295790,61.41,0.0000,0.00,1,-0.16,0.0,0.0000,0.000,0
37.23893148,126.77295786,61.42,0.0000,0.00,1,-0.17,0.0,0.0000,0.000,0
37.23893146,126.77295784,61.43,0.0000,0.00,1,-0.17,0.0,0.0000,0.000,0
37.23893142,126.77295786,61.44,0.0000,0.00,1,-0.18,0.0,0.0000,0.000,0
37.23893142,126.77295790,61.45,0.2827,0.00,1,-0.19,0.0,0.0000,0.000,0
37.23893144,126.77295788,61.45,0.2827,0.00,1,-0.20,0.0,0.0000,0.000,0
37.23893148,126.77295790,61.42,0.0000,0.00,1,-0.22,0.0,0.0000,0.000,0
37.23893172,126.77295806,61.37,0.5655,0.00,1,-0.24,0.0,0.0000,0.000,0
37.23893215,126.77295844,61.33,0.2827,0.00,1,-0.25,0.0,0.0000,0.000,0
37.23893265,126.77295874,61.29,0.2827,0.00,1,-0.23,0.0,0.0000,0.000,0
37.23893315,126.77295908,61.21,0.5655,0.00,1,-0.20,0.0,0.0000,0.000,0
37.23893374,126.77295955,61.15,0.5655,0.00,1,-0.13,0.0,0.0000,0.000,0
37.23893448,126.77296008,61.13,0.5655,0.00,1,-0.07,0.0,0.0000,0.000,0
37.23893527,126.77296056,61.11,0.8482,0.00,1,-0.02,0.0,0.0000,0.000,0
37.23893613,126.77296121,61.11,0.5655,0.00,1,0.02,0.0,0.0000,0.000,0
37.23893703,126.77296182,61.10,0.8482,0.00,1,0.03,0.0,0.0000,0.000,0
37.23893803,126.77296256,61.07,0.5655,0.00,1,0.00,0.0,0.0000,0.000,0
37.23893910,126.77296333,61.04,0.5655,0.00,1,-0.04,0.0,0.0000,0.000,0
37.23894020,126.77296412,60.99,0.8482,0.00,1,-0.06,0.0,0.0000,0.000,0
37.23894141,126.77296488,60.91,0.8482,0.00,1,-0.08,0.0,0.0000,0.000,0
37.23894269,126.77296574,60.90,0.8482,0.00,1,-0.11,0.0,0.0000,0.000,0
37.23894391,126.77296657,60.88,0.8482,0.00,1,-0.13,0.0,0.0000,0.000,0
37.23894522,126.77296744,60.85,0.8482,0.00,1,-0.15,0.0,0.0000,0.000,0
37.23894660,126.77296844,60.97,0.8482,0.00,1,-0.18,0.0,0.0000,0.000,0
37.23894790,126.77296937,61.01,0.8482,0.00,1,-0.20,0.0,0.0000,0.000,0
37.23894937,126.77297042,61.06,0.8482,0.00,1,-0.23,0.0,0.0000,0.000,0
37.23895074,126.77297143,61.04,0.8482,0.00,1,-0.24,0.0,0.0000,0.000,0
37.23895218,126.77297244,61.01,0.8482,0.00,1,-0.23,0.0,0.0000,0.000,0
37.23895369,126.77297344,61.03,0.8482,0.00,1,-0.22,0.0,0.0000,0.000,0
37.23895518,126.77297448,61.03,0.5655,0.00,1,-0.21,0.0,0.0000,0.000,0
37.23895659,126.77297551,61.00,0.8482,0.00,1,-0.18,0.0,0.0000,0.000,0
37.23895786,126.77297641,60.98,0.5655,0.00,1,-0.15,0.0,0.0000,0.000,0
37.23895891,126.77297719,60.94,0.5655,0.00,1,-0.15,0.0,0.0000,0.000,0
37.23895985,126.77297785,60.96,0.2827,0.00,1,-0.17,0.0,0.0000,0.000,0
37.23896064,126.77297842,60.69,0.2827,0.00,1,-0.18,0.0,0.0000,0.000,0
37.23896130,126.77297885,60.73,0.2827,0.00,1,-0.18,0.0,0.0000,0.000,0
37.23896181,126.77297925,60.73,0.2827,0.00,1,-0.16,0.0,0.0000,0.000,0
37.23896219,126.77297953,60.74,0.2827,0.00,1,-0.12,0.0,0.0000,0.000,0
37.23896247,126.77297975,60.74,0.0000,0.00,1,-0.06,0.0,0.0000,0.000,0
37.23896261,126.77297984,60.76,0.0000,0.00,1,0.01,0.0,0.0000,0.000,0
37.23896268,126.77297988,60.77,0.0000,0.00,1,0.09,0.0,0.0000,0.000,0
37.23896265,126.77297988,60.77,0.0000,0.00,1,0.14,0.0,0.0000,0.000,0
37.23896258,126.77297985,60.79,0.0000,0.00,1,0.17,0.0,0.0000,0.000,0
37.23896255,126.77297982,60.80,0.0000,0.00,1,0.19,0.0,0.0000,0.000,0
37.23896252,126.77297977,60.82,0.0000,0.00,1,0.18,0.0,0.0000,0.000,0
37.23896250,126.77297977,60.83,0.0000,0.00,1,0.15,0.0,0.0000,0.000,0
