t_rel,t_wall,kind,i,x_m,y_m,cells,ego_y,ego_yaw_deg,target_y,n_ahead,lethal_cells,clusters_all,clusters_rej,lstatus
184.76,1789274715.320,none,-1,,,,,,,,,,,L
184.81,1789274715.369,none,-1,,,,0.0,0.0,0.0,0.0,1723.0,2.0,0.0,L
184.86,1789274715.419,none,-1,,,,0.09388040054679668,0.0,0.0,0.0,1766.0,2.0,0.0,L
184.91,1789274715.469,none,-1,,,,0.1002290102246642,0.0,0.0,0.0,1814.0,2.0,0.0,L
184.96,1789274715.519,none,-1,,,,0.10541516600285643,0.0,0.0,0.0,1874.0,2.0,0.0,L
185.01,1789274715.569,none,-1,,,,0.10463573011875395,0.0,0.0,0.0,2027.0,3.0,0.0,L
185.06,1789274715.619,none,-1,,,,0.10287465862605821,0.0,0.0,0.0,1991.0,3.0,0.0,L
185.11,1789274715.669,none,-1,,,,0.10406719381574069,0.0,0.0,0.0,1834.0,2.0,0.0,L
185.16,1789274715.720,none,-1,,,,0.10489917187124032,0.0,0.0,0.0,2135.0,4.0,0.0,L
185.21,1789274715.769,none,-1,,,,0.09075506939643693,-0.09950619670265078,0.0,0.0,2106.0,4.0,0.0,L
185.26,1789274715.819,none,-1,,,,0.08697850266312031,-0.26510212645097153,0.0,0.0,1889.0,2.0,0.0,L
185.31,1789274715.869,none,-1,,,,0.08573254194134566,-0.42975481226457624,0.0,0.0,2003.0,2.0,0.0,L
185.36,1789274715.919,none,-1,,,,0.08098888673128081,-0.6297567458120977,0.0,0.0,2070.0,2.0,0.0,L
185.41,1789274715.969,none,-1,,,,0.07917358054167005,-0.8529822525627665,0.0,0.0,2155.0,2.0,0.0,L
185.46,1789274716.019,none,-1,,,,0.07350688250341637,-1.092766018851508,0.0,0.0,2200.0,2.0,0.0,L
185.51,1789274716.069,none,-1,,,,0.06812537004366118,-1.3627259019049327,0.0,0.0,2132.0,2.0,0.0,L
185.56,1789274716.119,none,-1,,,,0.06267976261102493,-1.6058896670233382,0.0,0.0,2208.0,2.0,0.0,L
185.61,1789274716.169,none,-1,,,,0.049756756515548624,-1.8035969363710334,0.0,0.0,2222.0,1.0,0.0,L
185.66,1789274716.219,none,-1,,,,0.04184229632363628,-1.998436658072541,0.0,0.0,2424.0,1.0,0.0,L
185.71,1789274716.269,none,-1,,,,0.0361343482532072,-2.216236178826475,0.0,0.0,2514.0,1.0,0.0,L
185.76,1789274716.319,none,-1,,,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,0,0.000,0.000,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,1,0.136,-0.002,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,2,0.287,-0.009,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,3,0.415,-0.018,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,4,0.543,-0.027,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,5,0.681,-0.033,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,6,0.801,-0.035,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,7,0.920,-0.032,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,8,1.039,-0.025,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,9,1.159,-0.016,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,10,1.279,-0.002,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,11,1.417,0.020,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,12,1.557,0.048,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,13,1.687,0.082,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,14,1.811,0.119,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,15,1.951,0.167,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,16,2.074,0.214,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,17,2.201,0.267,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,18,2.310,0.318,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,19,2.430,0.380,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.76,1789274716.319,path,20,2.579,0.467,,0.030376325415322564,-2.4118370728944094,0.0,0.0,2610.0,1.0,0.0,L
185.81,1789274716.369,none,-1,,,,0.01540768996019,-2.6184376860516934,0.0,0.0,2690.0,1.0,0.0,L
185.86,1789274716.419,none,-1,,,,0.003028258516970603,-2.714422388234625,0.0,0.0,2733.0,1.0,0.0,L
185.91,1789274716.469,none,-1,,,,-0.008645981994132078,-2.7047062870017715,0.0,0.0,2733.0,1.0,0.0,L
185.96,1789274716.519,none,-1,,,,-0.01606580674701241,-2.6179720542877796,0.0,0.0,2846.0,1.0,0.0,L
186.01,1789274716.569,none,-1,,,,-0.026294948002816395,-2.5337487204372686,0.0,0.0,2917.0,1.0,0.0,L
186.06,1789274716.619,none,-1,,,,-0.038393862548785324,-2.4721984565874924,0.0,0.0,3066.0,1.0,0.0,L
186.11,1789274716.669,none,-1,,,,-0.04949670970885518,-2.370484198335533,0.0,0.0,3120.0,1.0,0.0,L
186.16,1789274716.719,none,-1,,,,-0.0628303634607656,-2.2938439923314218,0.0,0.0,3135.0,1.0,0.0,L
186.21,1789274716.770,none,-1,,,,-0.0530390744716228,-2.2141675421970732,0.0,0.0,3196.0,1.0,0.0,L
186.26,1789274716.819,none,-1,,,,-0.062224799442756065,-2.1164274063047563,0.0,0.0,3323.0,1.0,0.0,L
186.31,1789274716.869,none,-1,,,,-0.06947029932008698,-2.0184657458761666,0.0,0.0,3367.0,1.0,0.0,L
186.36,1789274716.919,none,-1,,,,-0.07658025629963987,-1.9278992790953982,0.0,0.0,3360.0,1.0,0.0,L
186.41,1789274716.969,none,-1,,,,-0.07697640975403192,-1.8193818805236723,0.0,0.0,3402.0,1.0,0.0,L
186.46,1789274717.019,none,-1,,,,-0.08293760745990388,-1.6994292065701848,0.0,0.0,3611.0,2.0,0.0,L
186.51,1789274717.069,none,-1,,,,-0.0893505191075415,-1.5754028450947426,0.0,0.0,3721.0,2.0,0.0,L
186.56,1789274717.119,none,-1,,,,-0.09581170819369773,-1.4532443453619948,0.0,0.0,3767.0,2.0,0.0,L
186.61,1789274717.169,none,-1,,,,-0.09756307466838027,-1.3328143452277366,0.0,0.0,3803.0,2.0,0.0,L
186.66,1789274717.219,none,-1,,,,-0.10199468387412755,-1.2129526009338176,0.0,0.0,3962.0,2.0,0.0,L
186.71,1789274717.269,none,-1,,,,-0.1071039639326251,-1.1173144434119895,0.0,0.0,3859.0,2.0,0.0,L
186.76,1789274717.319,none,-1,,,,-0.11202204157543542,-1.019272407370135,0.0,0.0,3688.0,1.0,0.0,L
186.76,1789274717.319,path,0,0.000,0.000,,-0.11202204157543542,-1.019272407370135,0.0,0.0,3688.0,1.0,0.0,L
186.76,1789274717.319,path,1,0.123,-0.001,,-0.11202204157543542,-1.019272407370135,0.0,0.0,3688.0,1.0,0.0,L
186.76,1789274717.319,path,2,0.243,-0.002,,-0.11202204157543542,-1.019272407370135,0.0,0.0,3688.0,1.0,0.0,L
186.76,1789274717.319,path,3,0.363,-0.004,,-0.11202204157543542,-1.019272407370135,0.0,0.0,3688.0,1.0,0.0,L
