t_wall,t_rel,cmd_pulse,cmd_steer_deg,drive_pulse_cmd,brake_level,brake_pot,ego_x_m,ego_y_m,ego_heading_deg,ego_pulse,ego_wp_idx,ego_wp_total,ego_fix_ok,cte_m,heading_err_deg,target_idx,target_dist_m,goal_dist_m,gps_course_deg,fuse_corr_deg,gyro_z_dps,brake_latched,head_init_deg,head_sigma_deg,head_resid_m,head_dist_m,ref_pulse,out_pulse,meas_pulse,cte_integral,cte_i_term_deg,goal_phase,cb_state,cb_v0_ms,cb_v_corner_ms,goal_need_m,lidar_zone,rejoin,encoder_sum,speed_kmh,steer_measured_deg,throttle_raw,control_state,vehicle_mode,estop,board_status,drive_state,lstatus,drive_cmd,drive_event,tl_state,tl_near_metric,tl_red_far,sl_px,sl_y,sl_wait,fix_lat,fix_lon,fix_alt_m,fix_status,fix_cov_xx,gps_lat,gps_lon,gps_quality,gps_sigma_m,gps_pos_ok,gps_is_raw,gps_raw_age_s,gps_dr_dist_m,gps_kmh,gps_fix_course_deg,gps_mode,gps_reject_n,gps_resid_m,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z
1788867154.852562,0.019,0.0,0.0,0,0,789,85.05161991058385,-34.64707831472604,0.0,0.0,0.0,188.0,1.0,-0.3231757973275091,0.0,0.0,0.0,8.840691662415262,-0.33173972923928113,2.292754562645959,-0.128,0.0,-11.22537742629578,1.1029324377316472,0.009159103228380034,1.0388433652179685,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0.0,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,0,MAP_START | STOP | route_20260908_203042.csv | DRIVE_START,"주행모드 최초 인식: 수동조종 | 📶 GPS 품질 ↗ 회복 : DGPS → RTK_FLOAT (σ=2.20m) | 📶 GPS 품질 ↗ 회복 : RTK_FLOAT → RTK_FIXED (σ=0.12m) | 🗺️ 매핑 시작(prompt) — 페달로 곧게 굴려 헤딩을 잡을 것 | 🧭 헤딩 확정 -11.2° (±1.1°, 1.04m, 15점, 잔차 0.9cm) | 🛑 정지 명령 | 📁 경로 선택: route_20260908_203042.csv (WP 188개) — 스위치를 자율로 올리면 출발 | ⏸️ 일시정지 지점 없음 (terrain 열에 'S' 가 없다) | 🛰️ 라이다 구간 없음 — 전 구간 GPS 추종 (terrain 열에 'L' 이 없다) | ▶ 주행 시작(prompt) [route_20260908_203042.csv] | 📶 출발 GPS : RTK_FIXED σ=0.024m",,,,-1.0,-1.0,False,36.967633555,127.87365824833333,121.86000000000001,2,0.00012100000000000003,36.967633555,127.87365824833333,4.0,0.07429286098480224,1.0,0.0,0.1265857219696045,0.0,0.03441834119856935,-0.33173972923928113,0.0,10.0,0.0,-0.09992242626709019,0.47162331484255554,0.24339173790459856,0.8416337799456464,-0.014189526818713898,-0.004642575810304917,-0.002234021442552742,-8.3748791,0.4903325,5.1386845999999995
1788867154.902586,0.069,0.0,0.0,0,0,789,85.05161991058385,-34.64707831472604,0.0,0.0,0.0,188.0,1.0,-0.3231757973275091,0.0,0.0,0.0,8.840691662415262,-0.33173972923928113,2.292754562645959,0.299,0.0,-11.22537742629578,1.1029324377316472,0.009159103228380034,1.0388433652179685,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0.0,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,0,,,,,,-1.0,-1.0,False,36.967633555,127.87365824833333,121.86000000000001,2,0.00012100000000000003,36.967633555,127.87365824833333,4.0,0.09930177783966064,1.0,0.0,0.1766035556793213,0.0,0.03441834119856935,-0.33173972923928113,0.0,10.0,0.0,-0.09999570994756868,0.47161419574329766,0.2433660473489313,0.8416376152259605,-0.006265732014659643,-0.0073129295658562405,0.005218534463463045,-8.3552658,0.63743225,5.0602314
1788867154.952570,0.119,0.0,0.0,0,0,789,85.05161991058385,-34.64707831472604,0.0,0.0,0.0,188.0,1.0,-0.3231757973275091,0.0,0.0,0.0,8.840691662415262,-0.33173972923928113,2.292754562645959,0.049,0.0,-11.22537742629578,1.1029324377316472,0.009159103228380034,1.0388433652179685,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0.0,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,0,,,,,,-1.0,-1.0,False,36.96763356333334,127.87365825166667,121.862,2,0.00012100000000000003,36.96763356333334,127.87365825166667,4.0,0.011000000000000001,1.0,1.0,0.0,0.0,0.019821015964779587,-0.33173972923928113,0.0,10.0,0.0,-0.09996568024086039,0.4716311395777351,0.24335111156103217,0.8416360065114843,0.0020420352248333657,-0.010140362954087054,0.0008552113334772215,-8.208166049999999,0.6668522,5.24655775
1788867155.002589,0.169,0.0,0.0,0,0,789,85.05191638179137,-34.64615065183052,0.0,0.0,0.0,188.0,1.0,-0.3226610459600022,0.0,0.0,0.0,8.839760518221567,-0.33173972923928113,2.292754562645959,-0.177,0.0,-11.22537742629578,1.1029324377316472,0.009159103228380034,1.0388433652179685,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0.0,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,0,,,,,,-1.0,-1.0,False,36.96763356333334,127.87365825166667,121.862,2,0.00012100000000000003,36.96763356333334,127.87365825166667,4.0,0.048124991416931155,1.0,0.0,0.0742499828338623,0.0,0.019821015964779587,-0.33173972923928113,0.0,10.0,0.0,-0.09993570432838043,0.4715390852452961,0.24341553931810272,0.8416725142862259,-0.01007054978400728,-0.008011061266653973,-0.0030892327760299633,-8.2964259,0.65704555,5.2367511
1788867155.052613,0.219,0.0,0.0,0,0,789,85.05191638179137,-34.64615065183052,0.0,0.0,0.0,188.0,1.0,-0.3226610459600022,0.0,0.0,0.0,8.839760518221567,-0.33173972923928113,2.292754562645959,-0.03,0.0,-11.22537742629578,1.1029324377316472,0.009159103228380034,1.0388433652179685,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0.0,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,0,,,,,,-1.0,-1.0,False,36.96763356333334,127.87365825166667,121.862,2,0.00012100000000000003,36.96763356333334,127.87365825166667,4.0,0.07311984157562255,1.0,0.0,0.12423968315124512,0.0,0.019821015964779587,-0.33173972923928113,0.0,10.0,0.0,-0.09994542018939626,0.47163826885814,0.2433599111815952,0.8416318731852709,-0.00874409955249159,0.0061959188445798695,-0.0005235987755982988,-8.24739265,0.67665885,5.4034641500000005
1788867155.102623,0.269,0.0,0.0,0,0,789,85.05191638179137,-34.64615065183052,0.0,0.0,0.0,188.0,1.0,-0.3226610459600022,0.0,0.0,0.0,8.839760518221567,-0.33173972923928113,2.292754562645959,-0.173,0.0,-11.22537742629578,1.1029324377316472,0.009159103228380034,1.0388433652179685,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0.0,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,0,,,,,,-1.0,-1.0,False,36.96763356333334,127.87365825166667,121.862,2,0.00012100000000000003,36.96763356333334,127.87365825166667,4.0,0.09812649345397949,1.0,0.0,0.17425298690795898,0.0,0.019821015964779587,-0.33173972923928113,0.0,10.0,0.0,-0.09996052411706677,0.4716167440197722,0.24335451595750154,0.8416437013021129,-0.00301941960595019,-0.008796459430051421,-0.00301941960595019,-8.394492399999999,0.55897905,5.14849125
1788867155.152569,0.319,0.0,0.0,0,0,789,85.05191638179137,-34.64615065183052,0.0,0.0,0.0,188.0,1.0,-0.3226610459600022,0.0,0.0,0.0,8.839760518221567,-0.33173972923928113,2.292754562645959,0.228,0.0,-11.22537742629578,1.1029324377316472,0.009159103228380034,1.0388433652179685,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0.0,-2,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,0,,,,,,-1.0,-1.0,False,36.967633576666664,127.87365822666666,121.85499999999999,2,0.00012100000000000003,36.967633576666664,127.87365822666666,4.0,0.011000000000000001,1.0,1.0,0.0,0.0,0.026953011538274996,-0.33173972923928113,0.0,10.0,0.0,-0.10002003829068656,0.4715712653695274,0.24332675469405582,0.8416701397032991,-0.007871434926494426,-0.01265363707695889,0.003979350694547071,-8.34545915,0.6472389,5.2367511
1788867155.202600,0.369,0.0,0.0,0,0,789,85.04969285215876,-34.64466639262144,0.0,0.0,0.0,188.0,1.0,-0.3244616640377944,0.0,0.0,0.0,8.839809346753912,-0.33173972923928113,2.292754562645959,0.072,0.0,-11.22537742629578,1.1029324377316472,0.009159103228380034,1.0388433652179685,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0.0,-2,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,0,,,,,,-1.0,-1.0,False,36.967633576666664,127.87365822666666,121.85499999999999,2,0.00012100000000000003,36.967633576666664,127.87365822666666,4.0,0.04313322162628174,1.0,0.0,0.06426644325256348,0.0,0.026953011538274996,-0.33173972923928113,0.0,10.0,0.0,-0.09997563011996877,0.47159521947193983,0.24334911841049783,0.841655528658941,0.00312413936106985,-0.008866272600131194,0.0012566370614359172,-8.325845849999999,0.7060787999999999,5.22694445
1788867155.252595,0.419,0.0,0.0,0,0,789,85.04969285215876,-34.64466639262144,0.0,0.0,0.0,188.0,1.0,-0.3244616640377944,0.0,0.0,0.0,8.839809346753912,-0.33173972923928113,2.292754562645959,0.049,0.0,-11.22537742629578,1.1029324377316472,0.009159103228380034,1.0388433652179685,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0.0,-2,171,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,0,,,,,,-1.0,-1.0,False,36.967633576666664,127.87365822666666,121.85499999999999,2,0.00012100000000000003,36.967633576666664,127.87365822666666,4.0,0.0681296215057373,1.0,0.0,0.11425924301147461,0.0,0.026953011538274996,-0.33173972923928113,0.0,10.0,0.0,-0.10002274596512775,0.4716073297049048,0.24339631242452087,0.8416294980312594,-0.005218534463463045,-0.0029321531433504737,0.0008552113334772215,-8.2768126,0.63743225,5.32501095
1788867155.302586,0.469,0.0,0.0,0,0,789,85.04969285215876,-34.64466639262144,0.0,0.0,0.0,188.0,1.0,-0.3244616640377944,0.0,0.0,0.0,8.839809346753912,-0.33173972923928113,2.292754562645959,-0.2,0.0,-11.22537742629578,1.1029324377316472,0.009159103228380034,1.0388433652179685,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,,,0,0.0,-2,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,0,,,,,,-1.0,-1.0,False,36.967633576666664,127.87365822666666,121.85499999999999,2,0.00012100000000000003,36.967633576666664,127.87365822666666,4.0,0.09313257789611816,1.0,0.0,0.16426515579223633,0.0,0.026953011538274996,-0.33173972923928113,0.0,10.0,0.0,-0.10003910101398163,0.4716508940727503,0.24339667398128173,0.841603036759932,0.0007330382858376184,-0.012775810124598492,-0.003490658503988659,-8.433719,0.5883989999999999,5.32501095
