latitude,longitude,heading,speed,steer,direction,pitch,terrain,throttle_pulse,wheel_pulse,wheel_speed,steer_measured,throttle_raw,auto_mode,estop
36.96762347,127.87373448,-14.86,0.293,-2,1,0.00,0,0,0.0,0.000,-2,180,0,0
36.96762259,127.87373840,-16.49,0.664,-2,1,0.00,0,5,1.0,0.442,-2,368,0,0
36.96762199,127.87374209,-11.90,0.885,-2,1,0.00,0,1,1.0,0.442,-2,206,0,0
36.96762124,127.87374567,-10.87,0.851,-2,1,0.00,0,1,0.5,0.221,-2,204,0,0
36.96762066,127.87374866,-12.35,0.682,-3,1,0.00,0,5,1.0,0.442,-3,374,0,0
36.96761987,127.87375177,-18.60,0.696,-3,1,0.00,0,5,1.0,0.442,-3,366,0,0
36.96761900,127.87375596,-15.74,1.015,-3,1,0.00,0,4,1.0,0.442,-3,362,0,0
36.96761812,127.87376067,-12.36,1.138,-4,1,0.00,0,4,1.5,0.663,-4,349,0,0
36.96761701,127.87376577,-14.74,1.237,-5,1,0.00,0,4,1.5,0.663,-5,344,0,0
36.96761582,127.87377129,-15.16,1.366,-5,1,0.00,0,4,1.0,0.442,-5,347,0,0
36.96761527,127.87377416,-13.44,1.227,-4,1,0.00,0,5,1.5,0.663,-4,367,0,0
36.96761466,127.87377713,-14.43,1.339,-4,1,0.00,0,4,1.0,0.442,-4,341,0,0
36.96761404,127.87378023,-14.04,1.512,-4,1,0.00,0,4,1.5,0.663,-4,339,0,0
36.96761334,127.87378335,-15.63,1.408,-4,1,0.00,0,5,1.0,0.442,-4,375,0,0
36.96761272,127.87378655,-13.78,1.500,-3,1,0.00,0,4,1.5,0.663,-3,324,0,0
36.96761209,127.87378985,-13.29,1.469,-3,1,0.00,0,4,1.0,0.442,-3,323,0,0
36.96761147,127.87379318,-13.27,1.443,-2,1,0.00,0,3,2.0,0.884,-2,322,0,0
36.96761078,127.87379658,-14.19,1.681,-2,1,0.00,0,3,1.5,0.663,-2,322,0,0
36.96761010,127.87379984,-14.72,1.521,-2,1,0.00,0,4,1.0,0.442,-2,341,0,0
36.96760945,127.87380309,-13.96,1.471,-2,1,0.00,0,5,1.5,0.663,-2,370,0,0
36.96760869,127.87380636,-16.32,1.526,-2,1,0.00,0,3,1.0,0.442,-2,321,0,0
36.96760801,127.87380966,-14.49,1.320,-2,1,0.00,0,3,1.5,0.663,-2,322,0,0
36.96760731,127.87381292,-14.90,1.659,-2,1,0.00,0,3,1.5,0.663,-2,316,0,0
36.96760666,127.87381622,-13.88,1.478,-2,1,0.00,0,4,1.5,0.663,-2,324,0,0
36.96760598,127.87381935,-15.09,1.488,-2,1,0.00,0,3,1.0,0.442,-2,319,0,0
36.96760530,127.87382258,-14.80,1.467,-2,1,0.00,0,3,1.0,0.442,-2,315,0,0
36.96760456,127.87382562,-17.12,1.395,-2,1,0.00,0,3,1.0,0.442,-2,316,0,0
36.96760398,127.87382878,-12.93,1.596,-2,1,0.00,0,4,2.0,0.884,-2,339,0,0
36.96760318,127.87383185,-18.04,1.382,-2,1,0.00,0,3,1.0,0.442,-2,317,0,0
36.96760258,127.87383497,-13.51,1.417,-2,1,0.00,0,4,1.5,0.663,-2,348,0,0
36.96760187,127.87383789,-16.93,1.334,-2,1,0.00,0,4,1.0,0.442,-2,334,0,0
36.96760106,127.87384104,-17.91,1.374,-2,1,0.00,0,3,1.0,0.442,-2,313,0,0
36.96760046,127.87384403,-13.92,1.432,-2,1,0.00,0,3,1.5,0.663,-2,313,0,0
36.96759974,127.87384715,-16.12,1.435,-2,1,0.00,0,3,1.0,0.442,-2,313,0,0
36.96759902,127.87385017,-16.68,1.489,-2,1,0.00,0,3,1.0,0.442,-2,315,0,0
36.96759834,127.87385305,-16.51,1.334,-2,1,0.00,0,4,1.0,0.442,-2,354,0,0
36.96759764,127.87385601,-16.36,1.329,-2,1,0.00,0,3,1.0,0.442,-2,313,0,0
36.96759697,127.87385898,-15.74,1.431,-2,1,0.00,0,3,1.0,0.442,-2,314,0,0
36.96759626,127.87386186,-17.21,1.309,-3,1,0.00,0,3,1.5,0.663,-3,313,0,0
36.96759564,127.87386482,-14.75,1.402,-3,1,0.00,0,3,1.5,0.663,-3,314,0,0
36.96759483,127.87386756,-20.33,1.282,-5,1,0.00,0,4,1.0,0.442,-5,347,0,0
36.96759410,127.87387044,-17.56,1.267,-5,1,0.00,0,3,1.5,0.663,-5,312,0,0
36.96759355,127.87387321,-13.98,1.381,-5,1,0.00,0,3,1.5,0.663,-5,317,0,0
36.96759292,127.87387608,-15.40,1.287,-6,1,0.00,0,3,1.0,0.442,-6,313,0,0
36.96759224,127.87387881,-17.27,1.277,-8,1,0.00,0,3,1.0,0.442,-8,314,0,0
36.96759160,127.87388158,-15.99,1.342,-9,1,0.00,0,3,1.0,0.442,-9,314,0,0
36.96759050,127.87388699,-14.37,1.339,-11,1,0.00,0,3,1.5,0.663,-11,315,0,0
36.96758956,127.87389257,-9.33,1.358,-15,1,0.00,0,3,1.0,0.442,-15,318,0,0
36.96758866,127.87389786,-10.10,1.177,-17,1,0.00,0,3,1.5,0.663,-17,319,0,0
36.96758811,127.87390334,-6.44,1.201,-18,1,0.00,0,4,1.0,0.442,-18,323,0,0
36.96758769,127.87390893,-5.50,1.243,-17,1,0.00,0,4,2.0,0.884,-17,330,0,0
36.96758763,127.87391179,-1.46,1.211,-18,1,0.00,0,4,1.0,0.442,-18,326,0,0
36.96758764,127.87391486,0.12,1.416,-18,1,0.00,0,3,1.5,0.663,-18,319,0,0
36.96758765,127.87391784,0.28,1.293,-18,1,0.00,0,3,1.5,0.663,-18,318,0,0
36.96758762,127.87392076,-0.74,1.276,-19,1,0.00,0,3,1.5,0.663,-19,320,0,0
36.96758790,127.87392381,6.48,1.450,-20,1,0.00,0,3,1.5,0.663,-20,320,0,0
36.96758813,127.87392670,5.74,1.175,-20,1,0.00,0,3,2.0,0.884,-20,318,0,0
36.96758838,127.87392967,6.04,1.425,-20,1,0.00,0,3,1.0,0.442,-20,318,0,0
36.96758907,127.87393520,8.43,1.212,-20,1,0.00,0,3,1.5,0.663,-20,320,0,0
36.96759005,127.87394059,15.55,1.241,-22,1,0.00,0,3,1.5,0.663,-22,321,0,0
36.96759144,127.87394587,19.33,1.253,-22,1,0.00,0,3,2.0,0.884,-22,322,0,0
36.96759285,127.87395089,22.21,1.133,-23,1,0.00,0,3,1.5,0.663,-23,321,0,0
36.96759366,127.87395351,21.12,1.166,-23,1,0.00,0,4,1.5,0.663,-23,325,0,0
36.96759584,127.87395836,29.92,1.188,-24,1,0.00,0,3,1.5,0.663,-24,321,0,0
36.96759696,127.87396087,29.21,1.342,-25,1,0.00,0,3,1.0,0.442,-25,318,0,0
36.96759928,127.87396558,33.25,1.152,-24,1,0.00,0,3,1.5,0.663,-24,317,0,0
36.96760194,127.87396993,36.62,1.180,-27,1,0.00,0,4,1.0,0.442,-27,339,0,0
36.96760481,127.87397417,43.17,1.229,-27,1,0.00,0,3,1.0,0.442,-27,316,0,0
36.96760788,127.87397780,44.59,1.201,-27,1,0.00,0,3,1.5,0.663,-27,318,0,0
36.96761110,127.87398120,51.20,1.170,-27,1,0.00,0,3,1.0,0.442,-27,314,0,0
36.96761457,127.87398442,54.41,1.121,-27,1,0.00,0,3,1.5,0.663,-27,316,0,0
36.96761836,127.87398711,59.45,1.144,-28,1,0.00,0,3,1.5,0.663,-28,316,0,0
36.96762228,127.87398939,68.61,1.268,-29,1,0.00,0,3,1.5,0.663,-29,316,0,0
